BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
Security Service Federal Credit Union,3.6,$9,0.20%,$25k,$25,0.2
The First National Bank of Shiner,4.4,—,0.20%,$0,—,0.2
Newtown Savings Bank,3.4,$25,0.20%,$0,$25,0.2
Marion State Bank (TX),3.7,—,0.20%,$1k,—,0.2
Bank OZK,3.5,$12,0.20%,$0,$50,0.2
Border Federal Credit Union,3.7,—,0.15%,$500,—,0.15
MutualOne Bank,3.9,$8,0.15%,$5k,$100,0.15
Presidential Bank (MD),4.2,$5,0.12%,$0,$1.5k,0.12
American Heritage Credit Union,2.2,$10,0.11%,$7.5k,$7.5k,0.11
Self-Help Credit Union,4.1,$5,0.10%,$0,$0,0.1
OneUnited Bank,3.1,$20,0.10%,$100,$500,0.1
Prime Alliance Bank,4.3,$0,0.10%,$15k,$1,0.1
LendingClub,3.2,$0,0.10%,$2.5k,$25,0.1
Spectrum Credit Union,3.8,$0,0.10%,$500,—,0.1
Technology Credit Union,3.0,$0,0.10%,$1.5k,$0,0.1
Texas Capital Bank,4.2,$0,0.10%,$0,—,0.1
WaFd Bank,3.8,$12,0.10%,$0,$25,0.1
NuVision Federal Credit Union,2.4,$25,0.10%,$25k,$100,0.1
Chevron Federal Credit Union,3.7,$0,0.10%,$500,—,0.1
Genisys Credit Union,2.4,$10,0.10%,$1.5k,$1.5k,0.1
Credit Human,3.6,$5,0.10%,$0,$25,0.1
CoVantage Credit Union,3.8,$0,0.10%,$500,—,0.1
Castroville State Bank,4.0,—,0.10%,$800,—,0.1
Capital One,4.3,$0,0.10%,$0,$0,0.1
Bellco Credit Union,3.6,$12,0.10%,$25k,$0,0.1
Bank of Blue Valley,3.6,$12,0.10%,$0,$500,0.1
Advancial,4.0,$0,0.10%,$10k,$0,0.1
Fort Liberty Federal Credit Union,2.4,$5.95,0.10%,$2.5k,—,0.1
Zions Bank,3.0,$10,0.06%,$5k,$50,0.06
Synergy Federal Credit Union,3.6,$0,0.05%,$0,—,0.05
Northrop Grumman Federal Credit Union,3.2,$0,0.05%,$500,$25,0.05
Pasadena Federal Credit Union,2.8,$8,0.05%,$800,$100,0.05
Patelco Credit Union,3.5,$5,0.05%,$0,—,0.05
Randolph-Brooks Federal Credit Union,3.4,$0,0.05%,$0,—,0.05
Summit Credit Union (WI),3.4,$6,0.05%,$25,$25,0.05
UNIFY Financial Credit Union,2.2,$20,0.05%,$1k,$25,0.05
Teachers Federal Credit Union,2.8,$0,0.05%,$2.5k,$0,0.05
Texas Associations Of Professionals Federal Credit Union (TAP FCU),2.8,—,0.05%,$500,—,0.05
The Adirondack Trust Company,3.0,$5,0.05%,$500,$1,0.05
Matadors Community Credit Union,2.6,$7,0.05%,$1k,$25,0.05
United Nations Federal Credit Union,3.6,$0,0.05%,$0,—,0.05
United States Senate Federal Credit Union,2.6,$15,0.05%,$2k,$0,0.05
My eBanc,3.2,$15,0.05%,$0,$5k,0.05
Justice Federal Credit Union,2.2,$8,0.05%,$2.5k,$25,0.05
Magnifi Financial,3.8,$5,0.05%,$0,$0,0.05
Luana Savings Bank,3.6,$8,0.05%,$0,$1k,0.05
Library Of Congress Federal Credit Union,3.2,$0,0.05%,$0,—,0.05
KeyBank,3.2,$25,0.05%,$0,$50,0.05
IncredibleBank,3.4,$10,0.05%,$0,$0,0.05
Hughes Federal Credit Union,3.8,$0,0.05%,$0,—,0.05
Greater Texas Federal Credit Union,2.9,$0,0.05%,$1.3k,—,0.05
E*TRADE from Morgan Stanley,3.2,—,0.05%,$0,—,0.05
Community Bank of Raymore,3.2,$6,0.05%,$0,$25,0.05
CIBC Bank USA,4.2,$0,0.05%,$0,$50,0.05
Chartway Federal Credit Union,2.4,$6,0.05%,$10k,—,0.05
Broadway National Bank,2.6,—,0.05%,$1k,$25,0.05
Boeing Employees Credit Union (BECU),4.0,$0,0.05%,$0,—,0.05
Allegacy Federal Credit Union,3.4,$3,0.05%,$0,$50,0.05
Veridian Credit Union,3.4,$0,0.05%,$0,—,0.05
